Time, RSSI 1, RSSI 2, CINR 1, CINR 2
07:35:22,-97.0,-100.0,-1.0,-0.5
07:35:28,-96.5,-99.0,-1.0,-0.5
07:35:34,-95.5,-99.0,-1.0,-0.5
07:35:40,-95.5,-98.0,-1.0,-0.5
07:35:46,-98.5,-102.5,-1.5,-1.0
07:35:52,-98.5,-102.0,-1.5,-1.0
07:35:58,-99.5,-103.0,-1.5,-1.0
07:36:03,-98.5,-102.0,-1.5,-1.0
07:36:10,-98.5,-100.0,-1.5,-1.0
07:36:16,-100.0,-99.0,-1.5,-1.0
07:36:22,-99.5,-101.5,-1.5,-1.0
07:36:27,-98.5,-101.5,-1.5,-1.0
07:36:34,-85.5,-96.5,-1.5,-1.0
07:36:40,-100.0,-102.0,-0.5,-1.5
07:36:46,-98.5,-102.0,-0.5,-1.5
07:36:52,-98.0,-99.0,-0.5,-1.5
07:36:58,-98.0,-99.0,-0.5,-1.5
07:37:04,-99.5,-99.0,-0.5,-1.5
07:37:10,-100.0,-101.5,-0.5,-1.5
07:37:15,-100.0,-102.0,-0.5,-1.5
07:37:22,-99.5,-102.5,-0.5,-1.5
07:37:28,-99.5,-102.5,-0.5,-1.5
07:37:34,-98.0,-100.0,-0.5,-1.5
07:37:41,-100.0,-103.0,-0.5,-1.5
07:37:44,-100.0,-103.0,-0.5,-1.5
07:37:47,-99.5,-101.5,-0.5,-1.5
07:37:50,-99.5,-102.0,-0.5,-1.5
07:37:53,-99.5,-103.0,-0.5,-1.5
07:37:56,-98.5,-100.0,-0.5,-1.5
07:37:59,-88.0,-100.5,-0.5,-1.5
07:38:02,-99.5,-102.5,-0.5,-1.5
07:38:05,-98.5,-99.0,-0.5,-1.5
07:38:08,-95.5,-97.5,-0.5,-1.5
07:38:11,-99.5,-103.0,-0.5,-1.5
07:38:14,-96.5,-98.0,-0.5,-1.5
07:38:17,-99.5,-102.5,-0.5,-1.5
07:38:20,-99.5,-102.0,-0.5,-1.5
07:38:23,-72.0,-68.5,11.0,11.0
07:38:26,-74.0,-69.0,10.5,11.0
07:38:29,-70.0,-67.0,11.0,11.0
07:38:32,-72.0,-68.0,10.5,11.0
07:38:35,-72.5,-68.0,11.5,11.5
07:38:38,-72.0,-68.0,11.0,11.0
07:38:41,-72.0,-68.0,12.5,12.5
07:38:44,-73.0,-71.0,10.5,11.0
07:38:47,-70.0,-65.5,11.0,11.5
07:38:50,-68.5,-64.0,10.0,10.0
07:38:53,-59.0,-54.5,11.0,11.0
07:38:56,-59.5,-54.5,11.5,11.5
07:38:59,-56.0,-50.5,11.5,11.5
07:39:02,-54.5,-48.5,11.0,11.0
07:39:05,-56.0,-51.0,9.0,9.5
07:39:09,-57.0,-53.0,12.0,12.5
07:39:15,-57.5,-51.5,11.0,11.5
07:39:21,-57.5,-51.5,10.0,10.5
07:39:27,-57.5,-53.0,11.0,11.5
07:39:34,-57.0,-52.0,11.0,11.0
07:39:39,-57.5,-53.5,11.5,11.0
07:39:45,-57.5,-52.0,10.0,10.0
07:39:51,-57.0,-52.5,10.5,11.0
07:39:57,-57.5,-51.5,10.5,10.5
07:40:03,-57.5,-53.0,11.0,11.0
07:40:09,-58.0,-53.0,10.0,10.5
07:40:15,-58.0,-51.5,11.0,11.0
07:40:21,-58.0,-53.0,11.0,11.0
07:40:27,-57.0,-52.0,11.5,11.5
07:40:33,-57.5,-52.0,10.5,10.5
07:40:39,-58.5,-51.5,10.5,10.5
07:40:45,-57.5,-52.5,11.5,11.5
07:40:51,-58.5,-52.5,11.0,11.5
07:40:57,-57.5,-52.5,11.0,10.5
07:41:03,-57.5,-52.0,10.5,10.5
07:41:09,-58.5,-52.5,11.0,11.5
07:41:15,-57.5,-53.5,10.5,10.5
07:41:21,-58.0,-52.5,10.0,10.5
07:41:27,-58.0,-53.0,10.5,11.0
07:41:33,-57.5,-52.0,11.0,11.0
07:41:39,-57.5,-54.0,10.5,10.5
07:41:45,-58.5,-55.0,12.5,12.5
07:41:51,-58.0,-53.0,11.0,11.0
07:41:57,-59.0,-55.0,11.5,12.0
07:42:03,-57.0,-51.5,10.0,10.0
07:42:09,-58.5,-52.5,11.5,11.5
07:42:15,-52.5,-49.5,12.0,11.5
07:42:21,-50.0,-48.0,10.5,10.5
07:42:27,-49.5,-47.0,11.0,11.0
07:42:33,-49.0,-47.0,11.0,11.0
07:42:39,-50.5,-47.5,11.5,11.5
07:42:45,-48.5,-47.0,11.0,11.0
07:42:51,-50.0,-47.0,11.5,11.5
07:42:57,-52.5,-48.0,11.0,11.0
07:43:03,-57.0,-53.0,11.5,11.5
07:43:10,-59.5,-58.0,10.5,10.5
07:43:15,-58.0,-56.5,12.0,12.0
07:43:21,-58.5,-57.0,11.5,11.5
07:43:27,-59.0,-58.0,10.0,10.0
07:43:33,-58.5,-56.0,11.5,11.5
07:43:39,-56.0,-54.5,9.0,9.0
07:43:45,-55.0,-54.0,10.5,10.5
07:43:51,-58.0,-57.5,10.5,10.5
07:43:57,-57.5,-56.0,11.5,11.5
07:44:03,-62.5,-61.0,11.0,11.5
07:44:09,-63.5,-61.5,11.0,11.5
07:44:15,-59.0,-56.5,10.5,10.5
07:44:21,-60.5,-57.5,11.0,11.0
07:44:27,-59.0,-54.0,11.5,12.0
07:44:33,-57.0,-53.0,13.0,13.5
